
1,car,2024-01-19,12:32:26
4,car,2024-01-19,12:32:26
4,car,2024-01-19,12:32:26
1,car,2024-01-19,12:32:26
1,car,2024-01-19,12:32:26
5,car,2024-01-19,12:32:26
1,car,2024-01-19,12:32:26
5,car,2024-01-19,12:32:26
1,car,2024-01-19,12:32:26
5,car,2024-01-19,12:32:26
1,car,2024-01-19,12:32:26
5,car,2024-01-19,12:32:26
5,truck,2024-01-19,12:32:26
1,car,2024-01-19,12:32:26
5,car,2024-01-19,12:32:26
1,car,2024-01-19,12:32:26
5,car,2024-01-19,12:32:26
1,car,2024-01-19,12:32:26
5,car,2024-01-19,12:32:26
1,car,2024-01-19,12:32:26
5,car,2024-01-19,12:32:26
1,car,2024-01-19,12:32:26
5,car,2024-01-19,12:32:26
28,car,2024-01-19,12:32:26
1,car,2024-01-19,12:32:26
5,car,2024-01-19,12:32:26
28,car,2024-01-19,12:32:26
5,car,2024-01-19,12:32:26
28,car,2024-01-19,12:32:26
5,car,2024-01-19,12:32:26
28,car,2024-01-19,12:32:26
5,car,2024-01-19,12:32:26
28,car,2024-01-19,12:32:26
5,car,2024-01-19,12:32:26
28,car,2024-01-19,12:32:27
5,car,2024-01-19,12:32:27
28,car,2024-01-19,12:32:27
28,car,2024-01-19,12:32:27
28,car,2024-01-19,12:32:27
28,car,2024-01-19,12:32:27
28,car,2024-01-19,12:32:27
47,car,2024-01-19,12:32:27
28,car,2024-01-19,12:32:27
46,truck,2024-01-19,12:32:27
47,car,2024-01-19,12:32:27
28,car,2024-01-19,12:32:27
46,truck,2024-01-19,12:32:27
46,bus,2024-01-19,12:32:27
47,car,2024-01-19,12:32:27
46,truck,2024-01-19,12:32:27
28,car,2024-01-19,12:32:27
46,truck,2024-01-19,12:32:27
47,car,2024-01-19,12:32:27
28,car,2024-01-19,12:32:27
58,bus,2024-01-19,12:32:27
47,car,2024-01-19,12:32:27
46,truck,2024-01-19,12:32:27
28,car,2024-01-19,12:32:27
58,truck,2024-01-19,12:32:27
58,bus,2024-01-19,12:32:27
46,truck,2024-01-19,12:32:27
47,car,2024-01-19,12:32:27
58,truck,2024-01-19,12:32:27
46,truck,2024-01-19,12:32:27
47,car,2024-01-19,12:32:27
58,truck,2024-01-19,12:32:27
47,car,2024-01-19,12:32:27
46,truck,2024-01-19,12:32:27
58,truck,2024-01-19,12:32:27
47,car,2024-01-19,12:32:27
46,truck,2024-01-19,12:32:27
58,truck,2024-01-19,12:32:27
47,car,2024-01-19,12:32:28
46,truck,2024-01-19,12:32:28
58,truck,2024-01-19,12:32:28
46,truck,2024-01-19,12:32:28
47,car,2024-01-19,12:32:28
58,truck,2024-01-19,12:32:28
47,car,2024-01-19,12:32:28
46,truck,2024-01-19,12:32:28
58,truck,2024-01-19,12:32:28
47,car,2024-01-19,12:32:28
65,car,2024-01-19,12:32:28
46,truck,2024-01-19,12:32:28
58,truck,2024-01-19,12:32:28
46,bus,2024-01-19,12:32:28
82,truck,2024-01-19,12:32:28
65,car,2024-01-19,12:32:28
47,car,2024-01-19,12:32:28
46,truck,2024-01-19,12:32:28
58,bus,2024-01-19,12:32:28
46,bus,2024-01-19,12:32:28
58,truck,2024-01-19,12:32:28
65,car,2024-01-19,12:32:28
47,car,2024-01-19,12:32:28
46,bus,2024-01-19,12:32:28
46,truck,2024-01-19,12:32:28
58,truck,2024-01-19,12:32:28
65,car,2024-01-19,12:32:29
47,car,2024-01-19,12:32:29
46,truck,2024-01-19,12:32:29
58,truck,2024-01-19,12:32:29
65,car,2024-01-19,12:32:29
58,truck,2024-01-19,12:32:29
65,car,2024-01-19,12:32:29
58,truck,2024-01-19,12:32:29
58,truck,2024-01-19,12:32:29
80,car,2024-01-19,12:32:29
65,car,2024-01-19,12:32:29
